18
6 e h d 3 9 7 4 g 1 c b f 8 2 5 a 
b 7 f h e 4 a 8 5 0 2 d c g 9 3 6 
7 c 8 g h f 5 b 9 6 1 3 e d 0 a 4 
5 8 d 9 0 h g 6 c a 7 2 4 f e 1 b 
c 6 9 e a 1 h 0 7 d b 8 3 5 g f 2 
3 d 7 a f b 2 h 1 8 e c 9 4 6 0 g 
0 4 e 8 b g c 3 h 2 9 f d a 5 7 1 
2 1 5 f 9 c 0 d 4 h 3 a g e b 6 8 
9 3 2 6 g a d 1 e 5 h 4 b 0 f c 7 
8 a 4 3 7 0 b e 2 f 6 h 5 c 1 g d 
e 9 b 5 4 8 1 c f 3 g 7 h 6 d 2 0 
1 f a c 6 5 9 2 d g 4 0 8 h 7 e 3 
4 2 g b d 7 6 a 3 e 0 5 1 9 h 8 f 
g 5 3 0 c e 8 7 b 4 f 1 6 2 a h 9 
a 0 6 4 1 d f 9 8 c 5 g 2 7 3 b h 
h b 1 7 5 2 e g a 9 d 6 0 3 8 4 c 
d h c 2 8 6 3 f 0 b a e 7 1 4 9 5 
f g 0 1 2 3 4 5 6 7 8 9 a b c d e
